Name,CountryOrg,Country OperatorOwner,OperatorOwner,Users,Purpose,Purpose2,Orbit,TypeOrbit,LongitudeOfGEO,Perigeekm,Apogeekm,Eccentricity,Inclinationdegrees,Periodminutes,LaunchMasskg,DryMasskg,Powerwatts,LaunchDate,ExpectedLifetime,Contractor,CountryContractor,LaunchSite,LaunchVehicle,COSPARNumber,NORADNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 8C,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,573,585,8.63E-04,98,96.23,2,,,###############################################################################################################################################################################################################################################################,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067D,41851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 8D,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,572,584,8.64E-04,98,96.23,2,,,###############################################################################################################################################################################################################################################################,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067E,41852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghansat-1 (Eutelsat 28B  Eutelsat 48B  Eutelsat W2M  Eutelsat 48D),France,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,,GEO,,48.00,"35,764","35,808",5.22E-04,0.12,1436.08,"3,460","1,555","7,000",,15 yrs.,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afristar ,USA,USA,1Worldspace,Commercial,Communications,,GEO,,20.97,"35,770","35,802",3.80E-04,0.03,1436.09,"2,704","1,530","5,500",,15 yrs.,Matra Marconi Space-France,France,Guiana Space Center,Ariane 44L,1998-063A,25515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM (Aeronomy of Ice in Mesosphere),USA,USA,Center for Atmospheric Sciences  Hampton UniversityNASA,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,544,552,5.78E-04,97.9,96.2,215,197,216,###############################################################################################################################################################################################################################################################,2 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISat-1,Germany,Germany,German Aerospace Center (DLR),Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,643,660,1.21E-03,98.25,97.76,14,,,###############################################################################################################################################################################################################################################################,,German Aerospace Center (DLR),Germany,Satish Dhawan Space Center,PSLV-CA,2014-034B,40054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISSat-1 (Automatic Identification System Satellite-1),Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,615,632,1.22E-03,98,97.2,6,,,###############################################################################################################################################################################################################################################################,3 yrs.,Kongsberg Seatex ASUniversity of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Center,PSLV,2010-035C,36797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISSat-2 (Automatic Identification System Satellite-2),Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,625,631,4.29E-04,98.4,97.27,6,,,1/28/4041,3 yrs.,Kongsberg Seatex ASUniversity of Toronto Institute for Aerospace Studies,NorwayCanada,Baikonur Cosmodrome,Soyuz-2.1b,2014-037G,40075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIST-1,Russia,Russia,Samara State Aerospace University  SGAU,Civil,Technology Development,,LEO,Polar,0,599,626,1.93E-03,82.4,96.9,,,,###############################################################################################################################################################################################################################################################,,TsSKB Progress,Russia,Plesetsk Cosmodrome,Soyuz 2 1v,2013-078C,39492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIST-2,Russia,Russia,Samara State Aerospace University  SGAU,Civil,Technology Development,,LEO,Non-Polar Inclined,0,558,582,1.73E-03,64.88,96.06,53,,,###############################################################################################################################################################################################################################################################,3 yrs.,Samara State Aerospace University  SGAU,Russia,Baikonur Cosmodrome,Soyuz 2.1a,2013-015D,39133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIST-2D,Russia,Russia,Samara State Aerospace University,Civil,Technology Development,,LEO,Sun-Synchronous,0,471,486,1.10E-03,97.28,94.18,531,,,###############################################################################################################################################################################################################################################################,,Samara State Aerospace UniversityTsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026B,41465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALiCE  (AFIT LEO iMESA CNT E),NR,USA,US Air Force Institute of Technology,Military,Technology Development,,LEO,Polar,0,443,886,3.15E-02,120.3,98,5,,,4/9/5355,,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,2013-072F,39467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphasat I-XL  (Inmarsat IV-A F4),United Kingdom,United KingdomESA,INMARSAT  Ltd.European Space Agency,CommercialGovernment,CommunicationsTechnology Development,,GEO,,25.00,"35,786","35,787",1.19E-05,0.02,1436.09,"6,650","3,370","12,000",,15 yrs.,Astrium,FranceUKGermanySpain,Guiana Space Center,Ariane 5 ECA,2013-038A,39215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsat 2B,NR (1216),Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,646,660,9.97E-04,98.2,97.7,117,,,###############################################################################################################################################################################################################################################################,5 yrs.,Airbus Defense and Space,FranceUKGermanySpain,Satish Dhawan Space Center,PSLV,2016-059D,41786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsat-1B,NR (1216),Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,661,704,3.05E-03,98.2,98.4,103,,,###############################################################################################################################################################################################################################################################,5 yrs.,Surrey Satellite Technologies Ltd.,United Kingdom,Satish Dhawan Space Center,PSLV,2016-059C,41785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlSat-1N,NR (1216),Algeria,Algerian Space Agency (ASAL)UK Space Agency,Government,Technology Development,,LEO,Sun-Synchronous,0,661,698,2.62E-03,98.2,98.3,10,,,###############################################################################################################################################################################################################################################################,,Surrey Satellite Technologies Ltd.,United Kingdom,Satish Dhawan Space Center,PSLV,2016-059G,41789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsat-2A (Algeria Satellite 2A),Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,672,674,1.42E-04,98.1,98.2,130,,,###############################################################################################################################################################################################################################################################,5 yrs.,EADS Astrium,FranceUKGermanySpain,Satish Dhawan Space Center,PSLV,2010-035D,36798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-1 ,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.02,"35,776","35,797",2.49E-04,0.04,1436.1,"4,545","2,000",9 500 (EOL),4/29/4205,15 yrs.,EADS Astrium,FranceUKGermanySpain,Baikonur Cosmodrome,Proton M,2004-031A,28393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-2,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.00,"35,767","35,805",4.51E-04,0.03,1436.08,"5,465",,"15,300",10/13/4670,15 yrs.,EADS Astrium,FranceUKGermanySpain,Guiana Space Center,Ariane 5,2009-054A,35942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-3,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.00,"35,781","35,791",1.19E-04,0.03,1436.05,"6,265","2,778","14,000",9/28/2644,15 yrs.,Space SystemsLoral,USA,Guiana Space Center,Ariane 5 ECA,2013-006A,39078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-4A,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.00,"35,784","35,795",1.30E-04,0.08,1436.24,"2,938",,,,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2014-011A,39616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-1 (Americom 1  GE-1),USA,USA,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,-103.02,"35,772","35,800",3.32E-04,0.03,1436.1,"2,783","1,600",6 500 (EOL),8/10/4588,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
