Name,CountryOrg,Country OperatorOwner,OperatorOwner,Users,Purpose,Purpose2,Orbit,TypeOrbit,LongitudeOfGEO,Perigeekm,Apogeekm,Eccentricity,Inclinationdegrees,Periodminutes,LaunchMasskg,DryMasskg,Powerwatts,LaunchDate,ExpectedLifetime,Contractor,CountryContractor,LaunchSite,LaunchVehicle,COSPARNumber,NORADNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 904 ,USA,USA,Intelsat  S.A.,Commercial,Communications,,GEO,,60.05,"35,782","35,789",8.30E-05,0.01,1436.07,"4,680","2,350","8,500",1/4/8011,13 yrs.,Space SystemsLoral,USA,Baikonur Cosmodrome,Proton K,2002-007A,27380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 905 ,USA,USA,Intelsat  S.A.,Commercial,Communications,,GEO,,-24.52,"35,768","35,805",4.39E-04,0.01,1436.12,"4,723","1,984","10,000",2/11/3685,13 yrs.,Space SystemsLoral,USA,Guiana Space Center,Ariane 44L,2002-027A,27438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 906 ,USA,USA,Intelsat  S.A.,Commercial,Communications,,GEO,,64.19,"35,775","35,796",2.49E-04,0.01,1436.07,"4,723","1,955","7,000",11/13/4533,13 yrs.,Space SystemsLoral,USA,Guiana Space Center,Ariane 44L,2002-041A,27513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 907 ,USA,USA,Intelsat  S.A.,Commercial,Communications,,GEO,,-27.45,"35,770","35,803",3.91E-04,0.02,1436.1,"4,685","1,973","10,000",12/24/7791,13 yrs.,Space SystemsLoral,USA,Guiana Space Center,Ariane 44L,2003-007A,27683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat APR-2 (INSAT 2E),India,USA,Intelsat  S.A.,Commercial,Communications,,GEO,,83.03,"35,769","35,804",4.15E-04,0.18,1436.11,"2,550","1,150","2,000",10/8/3082,12 yrs.,Aerospatiale ,France,Xichang Satellite Launch Center,Long March CZ3B,1999-016A,25666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat New Dawn (Intelsat 28),NR,USA,Intelsat  S.A.,Commercial,Communications,,GEO,,32.80,"35,800","35,892",1.09E-03,0.05,1439.15,"3,000","1,283","4,800",,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2011-016A,37392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Space Station (ISS [first element Zarya]),USA,Multinational,NASAMultinational,Government,Space Science,,LEO,Non-Polar Inclined,0,401,422,1.55E-03,51.6,92.8,,,,###############################################################################################################################################################################################################################################################,30+ yrs.,Boeing Satellite Systems (prime)Multinational,Multinational,Baikonur Cosmodrome,Proton,1998-067A,25544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interstellar Boundary EXplorer (IBEX),USA,USA,NASAGoddard Space Flight Center,Government,Space Science,,Elliptical,Deep Highly Eccentric,0,"62,200","268,679",6.01E-01,15.2,8 days,462,,,###############################################################################################################################################################################################################################################################,,Orbital Sciences Corp.,USA,Kwajalein Island,Pegasus XL,2008-051A,33401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 10 (Iridium SV010),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-030D,24839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 11A (Iridium SV088),China,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-074B,25578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 12 (Iridium SV012),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-030B,24837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 13 (Iridium SV013),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,780,2.80E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-030E,24840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 14A (Iridium SV092),China,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,708,711,2.12E-04,86.5,99,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1999-032A,25777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 15 (Iridium SV015),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),5/29/4068,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-034A,24869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 18 (Iridium SV018),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),5/29/4068,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-034D,24872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 19 (Iridium SV019),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-056A,24965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 20A (Iridium SVO89),China,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-074A,25577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 21A (Iridium SVO93),China,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,775,780,3.50E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1999-032B,25778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 22 (Iridium SV022),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-043E,24907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 23 (Iridium SV023),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-043D,24906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 25 (Iridium SV025),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-043B,24904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 3 (Iridium SV078),China,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,780,2.80E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-048A,25431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 30 (Iridium SV030),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-051F,24949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 31 (Iridium SVO31),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-051G,24950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 32 (Iridium  SV032),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-051B,24945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 34 (Iridium SV034),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-056E,24969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 35 (Iridium SV035),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-056B,24966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 37 (Iridium SV037),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-056D,24968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 40 (Iridium SV040),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),7/29/5163,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-069C,25041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 41 (Iridium SV041),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),7/29/5163,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-069B,25040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 43 (Iridium SV043),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),7/29/5163,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-069A,25039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 45 (Iridium SV045),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-082A,25104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 46 (Iridium SV046),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-043C,24905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 47 (Iridium SV047),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,780,2.80E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-082C,25106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 49 (Iridium SV049),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-082E,25108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 5 (Iridium SV005),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),4/25/3411,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020D,24795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 50 (Iridium SV050),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,780,2.80E-04,86.4,100.4,689,556,1 400 (EOL),2/7/7874,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010D,25172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 51 (Iridium SV 051),China,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-018A,25262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 52 (Iridium SV052),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),2/7/7874,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010A,25169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 53 (Iridium SV053),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),2/7/7874,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010E,25173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 54 (Iridium SV054),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,,556,1 400 (EOL),2/7/7874,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010C,25171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 55 (Iridium SV055),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019A,25272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 56 (Iridium SV056),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),2/7/7874,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010B,25170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 58 (Iridium SV058),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019C,25274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 59 (Iridium SV059),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,780,2.80E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019D,25275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 6 (Iridium SV006),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,780,2.80E-04,86.4,100.4,689,556,1 400 (EOL),9/10/3438,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020C,24794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 60 (Iridium SV060),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019E,25276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 61 (Iridium SV061),China,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-018B,25263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 62 (Iridium SV062),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),4/13/3192,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021A,25285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 64 (Iridium SV064),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),4/13/3192,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021C,25287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 65 (Iridium SV065),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),4/13/3192,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021D,25288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 66 (Iridium SV066),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),4/13/3192,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021E,25289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 67 (Iridium SV067),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),4/13/3192,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021F,25290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 68 (Iridium SV068),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),4/13/3192,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021G,25291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 7 (Iridium SV007),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),4/25/3411,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020B,24793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 70 (Iridium SV070),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.3,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-032A,25342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 72 (Iridium SV072),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-032B,25343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 74 (Iridium SV074),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,747,751,2.81E-04,86.5,99.8,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-032D,25345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 75 (Iridium SV075),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-032E,25346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 76 (Iridium SV076),China,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,780,2.80E-04,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-048B,25432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 77 (Iridium SV077),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,780,2.80E-04,86.4,100.4,689,556,1 400 (EOL),8/12/4588,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-051E,25471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 8 (Iridium SV008),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),4/25/3411,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020A,24792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 80 (Iridium SV080),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),8/12/4588,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-051C,25469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 81 (Iridium SV081),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),8/12/4588,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-051B,25468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 82 (Iridium SV082),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),8/12/4588,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-051A,25467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 83 (Iridium SV083),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),6/9/5081,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-066E,25531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 84 (Iridium SV084),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),6/9/5081,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-066D,25530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 86 (Iridium SV086),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,780,2.80E-04,86.4,100.4,689,556,1 400 (EOL),6/9/5081,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-066B,25528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 90 (Iridium SV090),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,777,778,7.00E-05,86.4,100.4,689,556,1 400 (EOL),6/17/7682,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005B,27373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 91 (Iridium SV091),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,744,753,6.32E-04,86.4,99.8,689,556,1 400 (EOL),6/17/7682,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005A,27372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 94 (Iridium SV094),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,773,782,6.30E-04,86.4,100.4,689,556,1 400 (EOL),6/17/7682,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005C,27374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 95 (Iridium SV095),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,1 400 (EOL),6/17/7682,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005D,27375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 96 (Iridium SV096),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,745,754,6.32E-04,87.2,99.8,689,556,1 400 (EOL),6/17/7682,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005E,27376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 97 (Iridium SV097),USA,USA,Iridium Satellite LLC,GovernmentCommercial,Communications,,LEO,Polar,0,777,778,7.00E-05,86.4,100.4,689,556,1 400 (EOL),###############################################################################################################################################################################################################################################################,8 yrs.,Motorola Satellite Communications Group,USA,Plesetsk Cosmodrome,RokotBrizKM,2002-031A,27450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
